ProductKey,Title,BrandName,Description,VariantName,VariantCode,Gtin
DEMO-P009,Classic Zip Hoodie,Everyday Co,Soft zip hoodie with pockets and an adjustable hood.,Large,DEMO-P009-V03,8800000000043
DEMO-P009,Classic Zip Hoodie,Everyday Co,Soft zip hoodie with pockets and an adjustable hood.,XL,DEMO-P009-V04,8800000000044
DEMO-P009,Classic Zip Hoodie,Everyday Co,Soft zip hoodie with pockets and an adjustable hood.,XXL,DEMO-P009-V05,8800000000045
DEMO-P010,Metro Laptop Backpack,CarryWell,Laptop backpack with organized storage and padded straps.,Black 20 L,DEMO-P010-V01,8800000000046
DEMO-P010,Metro Laptop Backpack,CarryWell,Laptop backpack with organized storage and padded straps.,Navy 20 L,DEMO-P010-V02,8800000000047
DEMO-P010,Metro Laptop Backpack,CarryWell,Laptop backpack with organized storage and padded straps.,Grey 20 L,DEMO-P010-V03,8800000000048
DEMO-P010,Metro Laptop Backpack,CarryWell,Laptop backpack with organized storage and padded straps.,Black 28 L,DEMO-P010-V04,8800000000049
DEMO-P010,Metro Laptop Backpack,CarryWell,Laptop backpack with organized storage and padded straps.,Olive 28 L,DEMO-P010-V05,8800000000050
DEMO-P011,Steel Water Bottle,HomeNest,Reusable stainless-steel bottle for hot and cold drinks.,500 ml Black,DEMO-P011-V01,8800000000051
DEMO-P011,Steel Water Bottle,HomeNest,Reusable stainless-steel bottle for hot and cold drinks.,500 ml Blue,DEMO-P011-V02,8800000000052
DEMO-P011,Steel Water Bottle,HomeNest,Reusable stainless-steel bottle for hot and cold drinks.,750 ml Silver,DEMO-P011-V03,8800000000053
DEMO-P011,Steel Water Bottle,HomeNest,Reusable stainless-steel bottle for hot and cold drinks.,750 ml Green,DEMO-P011-V04,8800000000054
DEMO-P011,Steel Water Bottle,HomeNest,Reusable stainless-steel bottle for hot and cold drinks.,1 L Black,DEMO-P011-V05,8800000000055
DEMO-P012,Stoneware Coffee Mug,HomeNest,"Durable stoneware mug for coffee, tea, and cocoa.",White,DEMO-P012-V01,8800000000056
DEMO-P012,Stoneware Coffee Mug,HomeNest,"Durable stoneware mug for coffee, tea, and cocoa.",Black,DEMO-P012-V02,8800000000057
DEMO-P012,Stoneware Coffee Mug,HomeNest,"Durable stoneware mug for coffee, tea, and cocoa.",Blue,DEMO-P012-V03,8800000000058
DEMO-P012,Stoneware Coffee Mug,HomeNest,"Durable stoneware mug for coffee, tea, and cocoa.",Green,DEMO-P012-V04,8800000000059
DEMO-P012,Stoneware Coffee Mug,HomeNest,"Durable stoneware mug for coffee, tea, and cocoa.",Terracotta,DEMO-P012-V05,8800000000060
DEMO-P013,Focus LED Desk Lamp,BrightHome,Adjustable LED desk lamp with three brightness modes.,Black,DEMO-P013-V01,8800000000061
DEMO-P013,Focus LED Desk Lamp,BrightHome,Adjustable LED desk lamp with three brightness modes.,White,DEMO-P013-V02,8800000000062
DEMO-P013,Focus LED Desk Lamp,BrightHome,Adjustable LED desk lamp with three brightness modes.,Blue,DEMO-P013-V03,8800000000063
DEMO-P013,Focus LED Desk Lamp,BrightHome,Adjustable LED desk lamp with three brightness modes.,Silver,DEMO-P013-V04,8800000000064
DEMO-P013,Focus LED Desk Lamp,BrightHome,Adjustable LED desk lamp with three brightness modes.,Rose,DEMO-P013-V05,8800000000065
DEMO-P014,Comfort Yoga Mat,FitCore,Cushioned yoga mat with a textured non-slip surface.,Purple,DEMO-P014-V01,8800000000066
DEMO-P014,Comfort Yoga Mat,FitCore,Cushioned yoga mat with a textured non-slip surface.,Blue,DEMO-P014-V02,8800000000067
DEMO-P014,Comfort Yoga Mat,FitCore,Cushioned yoga mat with a textured non-slip surface.,Green,DEMO-P014-V03,8800000000068
DEMO-P014,Comfort Yoga Mat,FitCore,Cushioned yoga mat with a textured non-slip surface.,Black,DEMO-P014-V04,8800000000069
DEMO-P014,Comfort Yoga Mat,FitCore,Cushioned yoga mat with a textured non-slip surface.,Coral,DEMO-P014-V05,8800000000070
DEMO-P015,Resistance Band Set,FitCore,Five-level resistance band set for home workouts.,Light,DEMO-P015-V01,8800000000071
DEMO-P015,Resistance Band Set,FitCore,Five-level resistance band set for home workouts.,Medium,DEMO-P015-V02,8800000000072
DEMO-P015,Resistance Band Set,FitCore,Five-level resistance band set for home workouts.,Heavy,DEMO-P015-V03,8800000000073
DEMO-P015,Resistance Band Set,FitCore,Five-level resistance band set for home workouts.,Extra Heavy,DEMO-P015-V04,8800000000074
DEMO-P015,Resistance Band Set,FitCore,Five-level resistance band set for home workouts.,Five-Pack,DEMO-P015-V05,8800000000075
DEMO-P016,SoftTouch Bedsheet Set,HomeNest,Breathable bedsheet set with matching pillow covers.,Single Blue,DEMO-P016-V01,8800000000076
DEMO-P016,SoftTouch Bedsheet Set,HomeNest,Breathable bedsheet set with matching pillow covers.,Single Grey,DEMO-P016-V02,8800000000077
DEMO-P016,SoftTouch Bedsheet Set,HomeNest,Breathable bedsheet set with matching pillow covers.,Double Blue,DEMO-P016-V03,8800000000078
DEMO-P016,SoftTouch Bedsheet Set,HomeNest,Breathable bedsheet set with matching pillow covers.,Double Grey,DEMO-P016-V04,8800000000079
DEMO-P016,SoftTouch Bedsheet Set,HomeNest,Breathable bedsheet set with matching pillow covers.,King Beige,DEMO-P016-V05,8800000000080
DEMO-P017,FreshBox Storage Set,HomeNest,Stackable food-storage containers with locking lids.,Set of 3,DEMO-P017-V01,8800000000081
DEMO-P017,FreshBox Storage Set,HomeNest,Stackable food-storage containers with locking lids.,Set of 5,DEMO-P017-V02,8800000000082
DEMO-P017,FreshBox Storage Set,HomeNest,Stackable food-storage containers with locking lids.,Set of 7,DEMO-P017-V03,8800000000083
DEMO-P017,FreshBox Storage Set,HomeNest,Stackable food-storage containers with locking lids.,Set of 10,DEMO-P017-V04,8800000000084
DEMO-P017,FreshBox Storage Set,HomeNest,Stackable food-storage containers with locking lids.,Set of 12,DEMO-P017-V05,8800000000085
DEMO-P018,Daily Balance Face Wash,PureCare,Gentle daily cleanser suitable for normal skin.,50 ml,DEMO-P018-V01,8800000000086
DEMO-P018,Daily Balance Face Wash,PureCare,Gentle daily cleanser suitable for normal skin.,100 ml,DEMO-P018-V02,8800000000087
DEMO-P018,Daily Balance Face Wash,PureCare,Gentle daily cleanser suitable for normal skin.,150 ml,DEMO-P018-V03,8800000000088
DEMO-P018,Daily Balance Face Wash,PureCare,Gentle daily cleanser suitable for normal skin.,200 ml,DEMO-P018-V04,8800000000089
DEMO-P018,Daily Balance Face Wash,PureCare,Gentle daily cleanser suitable for normal skin.,Twin Pack 100 ml,DEMO-P018-V05,8800000000090
DEMO-P019,Nourish Daily Shampoo,PureCare,"Everyday shampoo formulated for clean, manageable hair.",100 ml,DEMO-P019-V01,8800000000091
DEMO-P019,Nourish Daily Shampoo,PureCare,"Everyday shampoo formulated for clean, manageable hair.",200 ml,DEMO-P019-V02,8800000000092
DEMO-P019,Nourish Daily Shampoo,PureCare,"Everyday shampoo formulated for clean, manageable hair.",340 ml,DEMO-P019-V03,8800000000093
DEMO-P019,Nourish Daily Shampoo,PureCare,"Everyday shampoo formulated for clean, manageable hair.",650 ml,DEMO-P019-V04,8800000000094
DEMO-P019,Nourish Daily Shampoo,PureCare,"Everyday shampoo formulated for clean, manageable hair.",Twin Pack 340 ml,DEMO-P019-V05,8800000000095
DEMO-P020,Campus Ruled Notebook,PaperTrail,Hard-cover ruled notebook for notes and planning.,A5 Black,DEMO-P020-V01,8800000000096
DEMO-P020,Campus Ruled Notebook,PaperTrail,Hard-cover ruled notebook for notes and planning.,A5 Blue,DEMO-P020-V02,8800000000097
DEMO-P020,Campus Ruled Notebook,PaperTrail,Hard-cover ruled notebook for notes and planning.,A5 Red,DEMO-P020-V03,8800000000098
DEMO-P020,Campus Ruled Notebook,PaperTrail,Hard-cover ruled notebook for notes and planning.,B5 Black,DEMO-P020-V04,8800000000099
DEMO-P020,Campus Ruled Notebook,PaperTrail,Hard-cover ruled notebook for notes and planning.,B5 Green,DEMO-P020-V05,8800000000100
